date,product,sales_amount,quantity,region,total_revenue
2023-06-23,Headphones,436.85232787696054,3,South,1310.5569836308816
2023-06-24,Headphones,543.466228534462,3,East,1630.3986856033857
2023-06-25,Phone,811.3101197968158,1,East,811.3101197968158
2023-06-26,Tablet,630.6687055147538,3,West,1892.0061165442614
2023-06-27,Tablet,451.0964701748238,6,West,2706.5788210489427
2023-06-28,Laptop,680.1820883245917,8,South,5441.456706596734
2023-06-29,Tablet,438.7886940467673,6,North,2632.7321642806037
2023-06-30,Laptop,194.28131972332193,5,North,971.4065986166097
2023-07-01,Tablet,348.78705336238943,4,East,1395.1482134495577
2023-07-02,Phone,219.38121184612163,3,South,658.1436355383648
2023-07-03,Tablet,447.27297739380367,4,West,1789.0919095752147
2023-07-04,Laptop,502.76275687843275,7,East,3519.339298149029
2023-07-05,Laptop,751.4655968412924,1,South,751.4655968412924
2023-07-06,Phone,549.0391060646244,7,North,3843.273742452371
2023-07-07,Tablet,467.13492067867037,1,South,467.13492067867037
2023-07-08,Tablet,624.4108371775234,2,North,1248.8216743550468
2023-07-09,Phone,168.32970364881726,4,South,673.318814595269
2023-07-10,Tablet,535.3421837162849,1,East,535.3421837162849
2023-07-11,Tablet,615.629779083045,9,North,5540.668011747405
2023-07-12,Laptop,278.2120631330238,6,East,1669.2723787981427
2023-07-13,Tablet,671.5631064810393,1,East,671.5631064810393
2023-07-14,Tablet,550.7744611241621,1,North,550.7744611241621
2023-07-15,Phone,437.70681291487983,6,North,2626.2408774892792
2023-07-16,Phone,594.9172799159427,4,West,2379.6691196637707
2023-07-17,Headphones,840.6039286706593,4,West,3362.4157146826374
2023-07-18,Laptop,527.2799382587742,6,West,3163.6796295526456
2023-07-19,Tablet,537.2330879450504,7,East,3760.631615615353
2023-07-20,Tablet,431.09586506896335,9,East,3879.8627856206704
2023-07-21,Headphones,372.5233445802812,5,West,1862.616722901406
2023-07-22,Tablet,624.5503724816368,9,East,5620.953352334732
2023-07-23,Laptop,371.58742611366995,4,East,1486.3497044546798
2023-07-24,Headphones,510.73493558290886,2,North,1021.4698711658177
2023-07-25,Laptop,428.3513829852325,3,North,1285.0541489556974
2023-07-26,Headphones,571.8469738619588,1,East,571.8469738619588
2023-07-27,Headphones,550.0493157930423,6,West,3300.295894758254
2023-07-28,Phone,655.6309916386849,6,South,3933.7859498321095
2023-07-29,Laptop,423.49754017178793,1,West,423.49754017178793
2023-07-30,Tablet,459.5187597059943,3,South,1378.5562791179827
2023-07-31,Tablet,353.1854426326539,5,West,1765.9272131632697
2023-08-01,Laptop,433.35601098858325,3,North,1300.0680329657498
2023-08-02,Tablet,556.5950739567278,3,East,1669.7852218701832
2023-08-03,Tablet,613.5482924968028,3,East,1840.6448774904084
2023-08-04,Laptop,361.6752013733562,5,North,1808.376006866781
2023-08-05,Headphones,630.440888015849,5,South,3152.204440079245
2023-08-06,Laptop,703.3456788207427,4,South,2813.382715282971
2023-08-07,Headphones,562.0152354835551,1,South,562.0152354835551
2023-08-08,Tablet,781.5193718837099,5,North,3907.5968594185497
2023-08-09,Tablet,383.931620134464,5,South,1919.6581006723202
2023-08-10,Tablet,313.30179450328745,4,North,1253.2071780131498
2023-08-11,Phone,233.1919626643582,6,West,1399.151775986149
2023-08-12,Headphones,724.4066467233774,4,West,2897.6265868935097
2023-08-13,Phone,598.1548484531087,7,North,4187.083939171761
2023-08-14,Phone,491.6622993634317,7,East,3441.636095544022
2023-08-15,Laptop,541.9952939479731,2,West,1083.9905878959462
2023-08-16,Phone,331.1766429052435,3,South,993.5299287157305
2023-08-17,Laptop,866.862796942524,1,North,866.862796942524
2023-08-18,Laptop,519.3831772962841,8,South,4155.065418370273
2023-08-19,Phone,516.4092191907339,9,South,4647.682972716605
2023-08-20,Headphones,608.8649935848038,4,East,2435.459974339215
2023-08-21,Headphones,572.151384760507,6,South,3432.908308563042
2023-08-22,Headphones,533.5826036418697,9,East,4802.243432776827
2023-08-23,Headphones,381.4288316832032,6,West,2288.572990099219
2023-08-24,Headphones,570.7202535703993,9,North,5136.482282133594
2023-08-25,Phone,782.3036744712551,4,South,3129.2146978850205
2023-08-26,Phone,701.8130069232467,8,North,5614.5040553859735
2023-08-27,Tablet,738.9779939959095,9,South,6650.801945963186
2023-08-28,Headphones,423.31764853532223,4,North,1693.270594141289
2023-08-29,Phone,351.55927696121284,5,South,1757.7963848060642
2023-08-30,Tablet,481.1319619850528,8,South,3849.0556958804223
2023-08-31,Headphones,508.3587368433042,6,South,3050.1524210598254
2023-09-01,Laptop,664.1287277706423,7,South,4648.901094394496
2023-09-02,Tablet,246.1303055427771,3,South,738.3909166283313
2023-09-03,Phone,729.432547919092,7,South,5106.027835433644
2023-09-04,Laptop,476.2988152131516,8,South,3810.390521705213
2023-09-05,Laptop,435.967839507887,6,South,2615.807037047322
2023-09-06,Laptop,348.1843437109749,9,South,3133.6590933987736
2023-09-07,Tablet,251.7714992201346,6,North,1510.6289953208075
2023-09-08,Phone,623.4755875942872,9,East,5611.280288348585
2023-09-09,Laptop,510.99769507826056,4,South,2043.9907803130423
2023-09-10,Headphones,306.50586503884193,8,East,2452.0469203107355
2023-09-11,Laptop,305.73818419045756,4,South,1222.9527367618302
2023-09-12,Laptop,449.6322951064808,2,South,899.2645902129616
2023-09-13,Tablet,750.3532287934089,9,North,6753.17905914068
2023-09-14,Tablet,461.06129729545927,5,West,2305.3064864772964
2023-09-15,Phone,274.5285570322841,4,West,1098.1142281291363
2023-09-16,Headphones,463.1385403871084,2,North,926.2770807742168
2023-09-17,Tablet,459.09146453784945,1,East,459.09146453784945
2023-09-18,Laptop,95.46700355876425,7,West,668.2690249113498
2023-09-19,Phone,491.85577002232816,6,North,2951.134620133969
2023-09-20,Laptop,465.35982046869833,2,North,930.7196409373967
2023-09-21,Laptop,604.4309547220128,8,West,4835.447637776102
2023-09-22,Tablet,777.3434142418018,4,East,3109.3736569672074
2023-09-23,Phone,668.9847544321636,8,North,5351.878035457309
2023-09-24,Headphones,459.66669641677544,7,South,3217.6668749174282
2023-09-25,Headphones,334.02111368874944,5,East,1670.1055684437472
2023-09-26,Tablet,886.0039704874791,8,East,7088.031763899833
2023-09-27,Tablet,508.88276510217327,9,West,4579.944885919559
2023-09-28,Phone,502.0893937869419,5,West,2510.4469689347097
2023-09-29,Headphones,496.3812369334995,5,South,2481.9061846674977
2023-09-30,Headphones,529.7127141151782,2,North,1059.4254282303564
2023-10-01,Headphones,478.3459382114086,5,West,2391.729691057043
2023-10-02,Laptop,413.95069896796457,3,West,1241.8520969038937
2023-10-03,Headphones,417.9711588139412,7,East,2925.7981116975884
2023-10-04,Laptop,495.08700946760024,5,West,2475.4350473380014
2023-10-05,Phone,418.48628432993524,8,West,3347.890274639482
2023-10-06,Laptop,393.07313259842533,1,West,393.07313259842533
2023-10-07,Phone,515.9645341537845,3,West,1547.8936024613536
2023-10-08,Headphones,461.7534173868717,3,East,1385.2602521606152
2023-10-09,Headphones,725.5989482874033,9,South,6530.39053458663
2023-10-10,Phone,102.35452874104823,5,South,511.77264370524114
2023-10-11,Tablet,663.7260277883693,9,North,5973.534250095323
2023-10-12,Phone,686.9127788746443,9,West,6182.215009871799
2023-10-13,Tablet,188.99146513877758,1,East,188.99146513877758
2023-10-14,Laptop,448.5968608879477,2,North,897.1937217758954
2023-10-15,Laptop,444.2838701006313,5,North,2221.4193505031567
2023-10-16,Laptop,288.8732457923268,4,South,1155.4929831693073
2023-10-17,Headphones,383.3274968613687,9,East,3449.947471752318
2023-10-18,Laptop,333.4136231801257,7,East,2333.8953622608797
2023-10-19,Tablet,762.8405665135434,6,East,4577.043399081261
2023-10-20,Laptop,640.3517589721191,7,South,4482.462312804833
2023-10-21,Phone,690.7332642491237,1,South,690.7332642491237
2023-10-22,Phone,608.2508096064853,1,South,608.2508096064853
2023-10-23,Headphones,330.6422343174156,8,South,2645.137874539325
2023-10-24,Phone,421.32196005803394,2,South,842.6439201160679
2023-10-25,Tablet,573.4061841841877,9,West,5160.6556576576895
2023-10-26,Laptop,316.6808286662082,7,West,2216.7658006634574
2023-10-27,Headphones,606.9497645258582,6,East,3641.698587155149
2023-10-28,Laptop,463.95119027627976,1,North,463.95119027627976
2023-10-29,Laptop,443.77687886756036,1,East,443.77687886756036
2023-10-30,Tablet,606.6439952305237,2,North,1213.2879904610475
2023-10-31,Phone,566.639496722906,6,South,3399.8369803374358
2023-11-01,Phone,445.85507512713804,6,North,2675.1304507628283
2023-11-02,Laptop,673.8994705046372,2,East,1347.7989410092744
2023-11-03,Headphones,337.84050086001537,1,East,337.84050086001537
2023-11-04,Phone,592.3903410416395,5,North,2961.951705208198
2023-11-05,Headphones,588.9651886952576,5,West,2944.8259434762876
2023-11-06,Phone,453.56803410290144,2,South,907.1360682058029
2023-11-07,Headphones,548.9199533363177,6,South,3293.5197200179064
2023-11-08,Tablet,312.33296354220454,9,East,2810.996671879841
2023-11-09,Headphones,638.6040528810352,2,West,1277.2081057620703
2023-11-10,Tablet,472.26467953355166,2,North,944.5293590671033
2023-11-11,Tablet,421.59154692214406,3,South,1264.7746407664322
2023-11-12,Headphones,657.3513838755334,7,West,4601.459687128734
2023-11-13,Tablet,394.3484464185861,6,South,2366.0906785115167
2023-11-14,Laptop,288.73080554546607,8,West,2309.8464443637286
2023-11-15,Tablet,266.5056239714145,8,West,2132.044991771316
2023-11-16,Phone,590.9014927018459,6,East,3545.4089562110753
2023-11-17,Headphones,307.93559712555754,3,South,923.8067913766727
2023-11-18,Laptop,763.2191272976547,3,North,2289.657381892964
2023-11-19,Headphones,187.7105888174417,1,East,187.7105888174417
2023-11-20,Phone,754.4684552435058,7,East,5281.279186704541
2023-11-21,Phone,531.6526200803928,5,North,2658.263100401964
2023-11-22,Phone,485.49303321944114,4,East,1941.9721328777646
2023-11-23,Tablet,418.2621369786575,4,West,1673.04854791463
2023-11-24,Tablet,559.8704171528107,4,West,2239.4816686112426
2023-11-25,Headphones,494.35479463627274,6,South,2966.1287678176363
2023-11-26,Headphones,665.4952823024782,8,South,5323.962258419826
2023-11-27,Laptop,517.1341472993059,8,North,4137.0731783944475
2023-11-28,Laptop,522.5452642192816,5,South,2612.7263210964084
2023-11-29,Headphones,445.4581681679216,6,West,2672.74900900753
2023-11-30,Tablet,491.4581564418399,4,North,1965.8326257673596
2023-12-01,Phone,546.1702653338089,9,North,4915.53238800428
2023-12-02,Headphones,243.47474110150614,8,South,1947.7979288120491
2023-12-03,Laptop,297.77218668414304,1,West,297.77218668414304
2023-12-04,Tablet,611.4896141034072,2,North,1222.9792282068145
2023-12-05,Headphones,525.6298157191912,9,West,4730.668341472721
2023-12-06,Headphones,472.40249954709816,8,West,3779.2199963767853
2023-12-07,Tablet,502.76508995980896,3,West,1508.295269879427
2023-12-08,Headphones,552.1372558042507,8,South,4417.0980464340055
2023-12-09,Tablet,419.03604795359576,1,East,419.03604795359576
2023-12-10,Phone,383.2542911896531,4,East,1533.0171647586124
2023-12-11,Tablet,529.3767882646522,3,North,1588.1303647939567
2023-12-12,Tablet,353.2440833577452,6,West,2119.464500146471
2023-12-13,Tablet,561.2379133571708,7,South,3928.6653935001955
2023-12-14,Headphones,244.61245936432394,4,West,978.4498374572958
2023-12-15,Headphones,654.3733455988465,7,West,4580.6134191919255
2023-12-16,Tablet,570.8896223619564,9,South,5138.006601257608
2023-12-17,Headphones,538.4044601470814,2,East,1076.8089202941628
2023-12-18,Laptop,647.403647591827,3,West,1942.2109427754813
2023-12-19,Laptop,749.8211666693865,5,West,3749.1058333469323
2023-12-20,Headphones,652.1555097527196,3,East,1956.4665292581587
2023-12-21,Headphones,223.86886530025322,8,South,1790.9509224020258
2023-12-22,Tablet,308.0634549896448,8,North,2464.5076399171585
2023-12-23,Phone,406.2772133456482,8,East,3250.2177067651855
2023-12-24,Headphones,503.91365753162506,9,North,4535.222917784626
2023-12-25,Laptop,577.6488530703684,4,North,2310.5954122814737
2023-12-26,Tablet,391.13842802698014,5,East,1955.6921401349007
2023-12-27,Headphones,528.0150146715617,5,West,2640.075073357809
2023-12-28,Laptop,386.6925601470016,8,North,3093.5404811760127
2023-12-29,Laptop,408.27232955120775,7,North,2857.906306858454
2023-12-30,Phone,289.00083547276665,9,South,2601.0075192548998
2023-12-31,Tablet,361.51501308336435,8,West,2892.120104666915
2024-01-01,Tablet,297.2473091575499,2,North,594.4946183150998
2024-01-02,Phone,353.61901205340007,4,South,1414.4760482136003
2024-01-03,Phone,658.046269491176,6,West,3948.277616947056
2024-01-04,Tablet,357.59016667520854,2,East,715.1803333504171
2024-01-05,Tablet,894.8573097256086,7,East,6264.00116807926
2024-01-06,Headphones,573.9976851321334,3,South,1721.9930553964
2024-01-07,Headphones,527.725418554231,3,East,1583.1762556626932
2024-01-08,Phone,371.246332972818,2,North,742.492665945636
2024-01-09,Headphones,605.0464819113487,8,West,4840.371855290789
2024-01-10,Laptop,413.65432606433393,6,North,2481.9259563860037
2024-01-11,Headphones,518.3014721968042,1,North,518.3014721968042
2024-01-12,Headphones,884.0126807403192,1,East,884.0126807403192
2024-01-13,Laptop,485.5910150413025,7,North,3399.1371052891177
2024-01-14,Phone,672.3909989428514,8,East,5379.127991542811
2024-01-15,Laptop,394.5235362311169,5,West,1972.6176811555845
2024-01-16,Headphones,494.75172642545573,5,West,2473.758632127279
2024-01-17,Phone,765.6200953453265,4,North,3062.480381381306
2024-01-18,Headphones,405.9549413318349,6,South,2435.729647991009
2024-01-19,Laptop,771.8672836995393,6,East,4631.2037021972355
2024-01-20,Laptop,606.1627903183213,3,East,1818.488370954964
2024-01-21,Headphones,415.6299836158598,9,North,3740.669852542738
2024-01-22,Tablet,594.8611608583282,7,East,4164.0281260082975
2024-01-23,Tablet,645.8831674440095,1,East,645.8831674440095
2024-01-24,Laptop,593.2714943325794,7,South,4152.900460328056
2024-01-25,Laptop,264.46629201643157,5,South,1322.3314600821577
2024-01-26,Tablet,390.9294236262697,5,North,1954.6471181313484
2024-01-27,Tablet,462.8722046672743,2,South,925.7444093345485
2024-01-28,Headphones,488.8349856349931,4,North,1955.3399425399723
2024-01-29,Headphones,593.1008146326017,6,West,3558.60488779561
2024-01-30,Tablet,526.6551501399881,7,North,3686.5860509799168
2024-01-31,Headphones,299.6983461934848,5,West,1498.4917309674238
2024-02-01,Headphones,557.0296776508944,9,North,5013.26709885805
2024-02-02,Phone,591.5878617925734,3,East,1774.7635853777203
2024-02-03,Headphones,583.9685671896559,1,South,583.9685671896559
2024-02-04,Laptop,662.1171088331932,4,West,2648.468435332773
2024-02-05,Headphones,625.0883231823357,9,North,5625.794908641021
2024-02-06,Headphones,568.8770118842655,4,South,2275.508047537062
2024-02-07,Tablet,489.4751432812029,2,North,978.9502865624058
2024-02-08,Laptop,250.85585997260128,5,South,1254.2792998630064
2024-02-09,Headphones,564.4427328698879,3,South,1693.3281986096636
2024-02-10,Headphones,531.1531530744667,9,North,4780.3783776702
2024-02-11,Phone,540.736825579306,4,West,2162.947302317224
2024-02-12,Headphones,308.48771362695356,6,West,1850.9262817617214
2024-02-13,Headphones,337.84151893876066,2,East,675.6830378775213
2024-02-14,Phone,657.9729279999356,6,South,3947.8375679996134
2024-02-15,Tablet,494.06672692150175,3,East,1482.2001807645051
2024-02-16,Headphones,602.2251046058936,9,East,5420.025941453043
2024-02-17,Phone,504.24775641956916,2,North,1008.4955128391383
2024-02-18,Laptop,504.4634209243618,9,North,4540.170788319256
2024-02-19,Tablet,640.7425708963997,5,North,3203.7128544819984
2024-02-20,Laptop,422.5932907673939,8,South,3380.7463261391513
2024-02-21,Laptop,514.4181165411475,2,North,1028.836233082295
2024-02-22,Phone,430.6587066942436,6,North,2583.9522401654617
2024-02-23,Headphones,434.8255658851526,3,South,1304.4766976554579
2024-02-24,Phone,453.6241814797041,5,South,2268.1209073985206
2024-02-25,Phone,533.3200657450569,8,West,4266.560525960455
2024-02-26,Phone,428.1877067504784,1,North,428.1877067504784
2024-02-27,Phone,688.3634188360281,5,North,3441.817094180141
2024-02-28,Tablet,365.80890466707444,3,North,1097.4267140012234
2024-02-29,Headphones,471.96925337579614,4,West,1887.8770135031846
2024-03-01,Laptop,434.04034125887375,2,North,868.0806825177475
2024-03-02,Laptop,717.0466826530599,9,West,6453.420143877539
2024-03-03,Headphones,529.4832164767362,3,East,1588.4496494302084
2024-03-04,Laptop,654.7766809202952,2,West,1309.5533618405905
2024-03-05,Headphones,277.1659440444542,9,East,2494.4934964000877
2024-03-06,Laptop,540.0575398803888,7,North,3780.402779162722
2024-03-07,Phone,633.4446193435156,6,East,3800.6677160610934
2024-03-08,Laptop,512.3425983913136,1,West,512.3425983913136
2024-03-09,Headphones,659.8220562598027,5,South,3299.1102812990134
